aktivasi,jumlah layer,jumlah nodes,error,akurasi
relu,1,8,0.1450030654668808,0.8052805066108704
relu,1,16,0.13198183476924896,0.8217821717262268
relu,1,32,0.12317566573619843,0.8118811845779419
relu,2,8,0.14174257218837738,0.8217821717262268
relu,2,16,0.13114656507968903,0.8250824809074402
relu,2,32,0.1169135719537735,0.8514851331710815
relu,3,8,0.14230363070964813,0.8118811845779419
relu,3,16,0.1249007135629654,0.8184818625450134
relu,3,32,0.11720400303602219,0.8415841460227966
sigmoid,1,8,0.24263226985931396,0.5445544719696045
sigmoid,1,16,0.2476901113986969,0.5445544719696045
sigmoid,1,32,0.2393188774585724,0.5445544719696045
sigmoid,2,8,0.2432301640510559,0.5445544719696045
sigmoid,2,16,0.24385355412960052,0.5445544719696045
sigmoid,2,32,0.24117568135261536,0.7458745837211609
sigmoid,3,8,0.24263302981853485,0.5445544719696045
sigmoid,3,16,0.24760812520980835,0.5445544719696045
sigmoid,3,32,0.24643465876579285,0.47194719314575195
