aktivasi,jumlah layer,jumlah nodes,error,akurasi
relu,1,4,0.14829543232917786,0.8184818625450134
sigmoid,1,4,0.24748104810714722,0.5445544719696045
tanh,1,4,0.13188864290714264,0.8151814937591553
linear,1,4,0.13570766150951385,0.8052805066108704
relu,2,4,0.35833731293678284,0.4554455578327179
sigmoid,2,4,0.247645765542984,0.5445544719696045
tanh,2,4,0.13250352442264557,0.8052805066108704
linear,2,4,0.13596899807453156,0.8085808753967285
relu,3,4,0.15655376017093658,0.8151814937591553
sigmoid,3,4,0.2477872520685196,0.5445544719696045
tanh,3,4,0.13236293196678162,0.7986798882484436
linear,3,4,0.1354822814464569,0.8118811845779419
relu,1,8,0.12757885456085205,0.8283828496932983
sigmoid,1,8,0.24152597784996033,0.5445544719696045
tanh,1,8,0.13340704143047333,0.8085808753967285
linear,1,8,0.13579389452934265,0.801980197429657
relu,2,8,0.1479800045490265,0.8151814937591553
sigmoid,2,8,0.24801449477672577,0.5445544719696045
tanh,2,8,0.13378961384296417,0.8151814937591553
linear,2,8,0.1360408067703247,0.8151814937591553
relu,3,8,0.13344472646713257,0.8250824809074402
sigmoid,3,8,0.24800902605056763,0.5445544719696045
tanh,3,8,0.13335052132606506,0.8052805066108704
linear,3,8,0.1356848180294037,0.8151814937591553
relu,1,12,0.13108225166797638,0.8349835276603699
sigmoid,1,12,0.2479701042175293,0.5445544719696045
tanh,1,12,0.1343439668416977,0.801980197429657
linear,1,12,0.136634960770607,0.8085808753967285
relu,2,12,0.13838450610637665,0.8085808753967285
sigmoid,2,12,0.24467319250106812,0.5445544719696045
tanh,2,12,0.134633868932724,0.801980197429657
linear,2,12,0.1362788826227188,0.8085808753967285
relu,3,12,0.1345958709716797,0.8118811845779419
sigmoid,3,12,0.24836841225624084,0.5445544719696045
tanh,3,12,0.13439807295799255,0.801980197429657
linear,3,12,0.13590677082538605,0.8184818625450134
relu,1,16,0.12207301706075668,0.8448845148086548
sigmoid,1,16,0.23902656137943268,0.5445544719696045
tanh,1,16,0.1348700374364853,0.8151814937591553
linear,1,16,0.13789764046669006,0.8118811845779419
relu,2,16,0.1328486055135727,0.8217821717262268
sigmoid,2,16,0.23690183460712433,0.5478547811508179
tanh,2,16,0.13502591848373413,0.8118811845779419
linear,2,16,0.13618730008602142,0.801980197429657
relu,3,16,0.1298488974571228,0.8316831588745117
sigmoid,3,16,0.23860807716846466,0.5445544719696045
tanh,3,16,0.1364799439907074,0.8151814937591553
linear,3,16,0.1362803429365158,0.8052805066108704
relu,1,20,0.13441123068332672,0.8151814937591553
sigmoid,1,20,0.24362559616565704,0.5445544719696045
tanh,1,20,0.14054201543331146,0.8085808753967285
linear,1,20,0.1395079344511032,0.8217821717262268
relu,2,20,0.13215480744838715,0.8184818625450134
sigmoid,2,20,0.24371933937072754,0.5445544719696045
tanh,2,20,0.13532449305057526,0.8184818625450134
linear,2,20,0.13646575808525085,0.8151814937591553
relu,3,20,0.12927834689617157,0.8151814937591553
sigmoid,3,20,0.2466227263212204,0.5445544719696045
tanh,3,20,0.13621987402439117,0.8085808753967285
linear,3,20,0.1369151473045349,0.8184818625450134
relu,1,24,0.13009989261627197,0.8250824809074402
sigmoid,1,24,0.2473922073841095,0.5445544719696045
tanh,1,24,0.13822533190250397,0.8184818625450134
linear,1,24,0.13726866245269775,0.8118811845779419
relu,2,24,0.1303432732820511,0.8217821717262268
sigmoid,2,24,0.24149782955646515,0.5445544719696045
tanh,2,24,0.13564850389957428,0.8217821717262268
linear,2,24,0.14246445894241333,0.7986798882484436
relu,3,24,0.11911452561616898,0.8382838368415833
sigmoid,3,24,0.24534399807453156,0.5445544719696045
tanh,3,24,0.1346079260110855,0.8118811845779419
linear,3,24,0.135970801115036,0.8118811845779419
relu,1,32,0.1229172870516777,0.8316831588745117
sigmoid,1,32,0.24269019067287445,0.6963696479797363
tanh,1,32,0.13698232173919678,0.8085808753967285
linear,1,32,0.1366928666830063,0.8052805066108704
relu,2,32,0.11726030707359314,0.8415841460227966
sigmoid,2,32,0.2464216947555542,0.5445544719696045
tanh,2,32,0.13585244119167328,0.8184818625450134
linear,2,32,0.1351737231016159,0.8151814937591553
relu,3,32,0.11593179404735565,0.8415841460227966
sigmoid,3,32,0.23869509994983673,0.5907590985298157
tanh,3,32,0.1394420713186264,0.8118811845779419
linear,3,32,0.13572551310062408,0.8052805066108704
relu,1,64,0.10074418783187866,0.8514851331710815
sigmoid,1,64,0.23781560361385345,0.5445544719696045
tanh,1,64,0.13555404543876648,0.8052805066108704
linear,1,64,0.13830827176570892,0.8085808753967285
relu,2,64,0.10557600855827332,0.867986798286438
sigmoid,2,64,0.15735897421836853,0.8052805066108704
tanh,2,64,0.1386549323797226,0.7920792102813721
linear,2,64,0.13821686804294586,0.8052805066108704
relu,3,64,0.11700771749019623,0.8382838368415833
sigmoid,3,64,0.18406903743743896,0.7986798882484436
tanh,3,64,0.14069654047489166,0.7986798882484436
linear,3,64,0.13971658051013947,0.8118811845779419
